pile no,easting,northing,elevation
P5-PR01-A,497997.780,1556997.730,10.480
P5-PR01-B,498002.280,1556997.730,10.480
P5-PR01-C,497997.780,1557002.230,10.480
P5-PR01-D,498002.280,1557002.230,10.480
P5-PR02-A,498000.530,1556952.730,10.480
P5-PR02-B,498005.030,1556952.730,10.480
P5-PR02-C,498009.530,1556952.730,10.480
P5-PR02-D,498000.530,1556957.230,10.480
P5-PR02-E,498005.030,1556957.230,10.480
P5-PR02-F,498009.530,1556957.230,10.480
P5-PR03-A,498005.530,1556905.480,10.480
P5-PR03-B,498010.030,1556905.480,10.480
P5-PR03-C,498014.530,1556905.480,10.480
P5-PR03-D,498005.530,1556909.980,10.480
P5-PR03-E,498010.030,1556909.980,10.480
P5-PR03-F,498014.530,1556909.980,10.480
P5-PR03-G,498005.530,1556914.480,10.480
P5-PR03-H,498010.030,1556914.480,10.480
P5-PR03-I,498014.530,1556914.480,10.480
P5-PR04-A,498012.780,1556862.730,10.480
P5-PR04-B,498017.280,1556862.730,10.480
P5-PR04-C,498012.780,1556867.230,10.480
P5-PR04-D,498017.280,1556867.230,10.480
P5-PR05A-A,498009.780,1556817.730,10.480
P5-PR05A-B,498014.280,1556817.730,10.480
P5-PR05A-C,498009.780,1556822.230,10.480
P5-PR05A-D,498014.280,1556822.230,10.480
P5-PR05B-A,498025.780,1556817.730,10.480
P5-PR05B-B,498030.280,1556817.730,10.480
P5-PR05B-C,498025.780,1556822.230,10.480
P5-PR05B-D,498030.280,1556822.230,10.480
P5-PR06-A,498020.530,1556772.730,10.480
P5-PR06-B,498025.030,1556772.730,10.480
P5-PR06-C,498029.530,1556772.730,10.480
P5-PR06-D,498020.530,1556777.230,10.480
P5-PR06-E,498025.030,1556777.230,10.480
P5-PR06-F,498029.530,1556777.230,10.480
P5-PR07-A,498022.780,1556728.680,10.480
P5-PR07-B,498027.280,1556728.680,10.480
P5-PR07-C,498025.030,1556732.580,10.480
