structure ref,structure kind,pile cap ref,cap type,pile no,label,diameter,design length,easting,northing,cutoff level,tip elevation
PR01,viaduct,1,standard,P5-PR01-A,A,1500,28.000,497997.750,1556997.750,10.500,-17.500
PR01,viaduct,1,standard,P5-PR01-B,B,1500,28.000,498002.250,1556997.750,10.500,-17.500
PR01,viaduct,1,standard,P5-PR01-C,C,1500,28.000,497997.750,1557002.250,10.500,-17.500
PR01,viaduct,1,standard,P5-PR01-D,D,1500,28.000,498002.250,1557002.250,10.500,-17.500
PR02,viaduct,1,standard,P5-PR02-A,A,1500,28.000,498000.500,1556952.750,10.500,-17.500
PR02,viaduct,1,standard,P5-PR02-B,B,1500,28.000,498005.000,1556952.750,10.500,-17.500
PR02,viaduct,1,standard,P5-PR02-C,C,1500,28.000,498009.500,1556952.750,10.500,-17.500
PR02,viaduct,1,standard,P5-PR02-D,D,1500,28.000,498000.500,1556957.250,10.500,-17.500
PR02,viaduct,1,standard,P5-PR02-E,E,1500,28.000,498005.000,1556957.250,10.500,-17.500
PR02,viaduct,1,standard,P5-PR02-F,F,1500,28.000,498009.500,1556957.250,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-A,A,1500,28.000,498005.500,1556905.500,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-B,B,1500,28.000,498010.000,1556905.500,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-C,C,1500,28.000,498014.500,1556905.500,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-D,D,1500,28.000,498005.500,1556910.000,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-E,E,1500,28.000,498010.000,1556910.000,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-F,F,1500,28.000,498014.500,1556910.000,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-G,G,1500,28.000,498005.500,1556914.500,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-H,H,1500,28.000,498010.000,1556914.500,10.500,-17.500
PR03,viaduct,1,standard,P5-PR03-I,I,1500,28.000,498014.500,1556914.500,10.500,-17.500
PR04,viaduct,1,standard,P5-PR04-A,A,1500,28.000,498012.750,1556862.750,10.500,-17.500
PR04,viaduct,1,standard,P5-PR04-B,B,1500,28.000,498017.250,1556862.750,10.500,-17.500
PR04,viaduct,1,standard,P5-PR04-C,C,1500,28.000,498012.750,1556867.250,10.500,-17.500
PR04,viaduct,1,standard,P5-PR04-D,D,1500,28.000,498017.250,1556867.250,10.500,-17.500
PR05,viaduct,A,straddle,P5-PR05A-A,A,1500,28.000,498009.750,1556817.750,10.500,-17.500
PR05,viaduct,A,straddle,P5-PR05A-B,B,1500,28.000,498014.250,1556817.750,10.500,-17.500
PR05,viaduct,A,straddle,P5-PR05A-C,C,1500,28.000,498009.750,1556822.250,10.500,-17.500
PR05,viaduct,A,straddle,P5-PR05A-D,D,1500,28.000,498014.250,1556822.250,10.500,-17.500
PR05,viaduct,B,straddle,P5-PR05B-A,A,1500,28.000,498025.750,1556817.750,10.500,-17.500
PR05,viaduct,B,straddle,P5-PR05B-B,B,1500,28.000,498030.250,1556817.750,10.500,-17.500
PR05,viaduct,B,straddle,P5-PR05B-C,C,1500,28.000,498025.750,1556822.250,10.500,-17.500
PR05,viaduct,B,straddle,P5-PR05B-D,D,1500,28.000,498030.250,1556822.250,10.500,-17.500
PR06,viaduct,1,standard,P5-PR06-A,A,1500,28.000,498020.500,1556772.750,10.500,-17.500
PR06,viaduct,1,standard,P5-PR06-B,B,1500,28.000,498025.000,1556772.750,10.500,-17.500
PR06,viaduct,1,standard,P5-PR06-C,C,1500,28.000,498029.500,1556772.750,10.500,-17.500
PR06,viaduct,1,standard,P5-PR06-D,D,1500,28.000,498020.500,1556777.250,10.500,-17.500
PR06,viaduct,1,standard,P5-PR06-E,E,1500,28.000,498025.000,1556777.250,10.500,-17.500
PR06,viaduct,1,standard,P5-PR06-F,F,1500,28.000,498029.500,1556777.250,10.500,-17.500
